
#v3
1495838341.495379 2017-05-27T11:51:31.300Z G  43.329170 -71.608643 452.099752 0.000 0.000 0.0 *
1495838390.000678 2017-05-27T11:52:19.000Z A 708  0.392  0.628  0.863 -0.235  0.098  0.353  9.258  9.611  9.885 *
1495838391.000728 2017-05-27T11:52:20.000Z A 711  0.392  0.626  0.863 -0.118  0.089  0.314  9.336  9.613  9.885 *
1495838392.000438 2017-05-27T11:52:21.000Z A 696  0.431  0.637  0.902 -0.157  0.105  0.314  9.297  9.598  9.846 *
1495838393.001325 2017-05-27T11:52:22.000Z A 692  0.392  0.624  0.902 -0.039  0.107  0.314  9.297  9.613  10.003 *
1495838394.001451 2017-05-27T11:52:23.000Z A 709  0.431  0.635  0.902 -0.196  0.110  0.314  9.375  9.606  9.924 *
1495838395.000951 2017-05-27T11:52:24.000Z A 711  0.431  0.624  0.981 -0.079  0.104  0.314  9.258  9.609  9.885 *
1495838396.000849 2017-05-27T11:52:25.000Z A 707  0.431  0.619  0.824 -0.118  0.102  0.275  9.258  9.589  9.924 *
1495838397.000244 2017-05-27T11:52:26.000Z A 681  0.471  0.636  0.863 -0.118  0.095  0.353  9.140  9.591  9.964 *
1495838398.001624 2017-05-27T11:52:27.000Z A 706  0.392  0.629  0.784 -0.118  0.102  0.314  9.375  9.617  9.885 *
1495838399.000875 2017-05-27T11:52:28.000Z A 710  0.471  0.633  0.863 -0.157  0.104  0.275  9.336  9.610  9.924 *
1495838400.001543 2017-05-27T11:52:29.000Z A 707  0.314  0.614  0.863 -0.118  0.104  0.353  9.375  9.607  9.885 *
1495838401.000789 2017-05-27T11:52:30.000Z A 707  0.392  0.624  0.863 -0.157  0.103  0.314  9.258  9.617  9.885 *
1495838402.000452 2017-05-27T11:52:31.000Z A 690  0.353  0.624  0.941 -0.079  0.100  0.392  9.218  9.611  9.885 *
1495838403.001091 2017-05-27T11:52:32.000Z A 712  0.392  0.635  0.863 -0.157  0.119  0.392  9.061  9.596  9.846 *
1495838404.000390 2017-05-27T11:52:33.000Z A 707  0.471  0.620  0.824 -0.118  0.101  0.314  9.297  9.608  9.924 *
