
#v3
2017-10-06T13:53:26.000Z G  43.329218 -71.608590 400.262480 0.00 0 54 *
2017-10-06T13:53:29.000Z A 1  0.000  1.569  1.569  0.000  1.647  1.647  0.000  8.434  8.434 *
2017-10-06T13:54:12.000Z A 826 -4.590  0.219  4.668 -3.217  0.223  2.942  5.531  9.536  13.494 *
2017-10-06T13:54:12.000Z A 839 -4.590  0.196  4.746 -3.295  0.234  3.020  6.041  9.528  13.808 *
2017-10-06T13:54:14.000Z A 824 -4.550  0.272  4.393 -3.334  0.233  3.020  5.609  9.452  14.161 *
2017-10-06T13:54:15.000Z A 839 -4.786  0.207  4.080 -3.177  0.252  3.099  5.256  9.571  13.965 *
2017-10-06T13:54:16.000Z A 815 -4.393  0.186  4.629 -3.217  0.266  3.295  5.766  9.535  13.494 *
2017-10-06T13:54:17.000Z A 843 -4.864  0.162  4.903 -3.060  0.259  2.903  5.923  9.555  13.494 *
2017-10-06T13:54:17.000Z A 842 -4.433  0.189  4.472 -3.256  0.246  3.060  5.452  9.545  14.671 *
2017-10-06T13:54:19.000Z A 818 -4.590  0.207  4.393 -3.217  0.224  2.746  5.884  9.531  13.572 *
2017-10-06T13:54:20.000Z A 843 -4.668  0.249  4.746 -3.177  0.236  2.981  5.806  9.509  14.278 *
2017-10-06T13:54:21.000Z A 810 -4.590  0.231  4.629 -2.942  0.230  3.099  5.452  9.498  13.572 *
2017-10-06T13:54:22.000Z A 843 -4.550  0.224  4.393 -3.373  0.239  3.256  5.962  9.511  13.847 *
2017-10-06T13:54:22.000Z A 842 -4.746  0.192  4.590 -3.060  0.226  3.609  6.080  9.543  13.455 *
2017-10-06T13:54:24.000Z G  43.329207 -71.608593 402.230984 0.00 0 36 *
2017-10-06T13:54:24.000Z A 823 -4.707  0.218  4.511 -3.491  0.232  3.138  5.688  9.545  13.808 *
2017-10-06T13:54:25.000Z A 825 -4.354  0.181  4.354 -3.060  0.233  3.256  5.531  9.540  14.318 *
2017-10-06T13:54:26.000Z A 814 -4.668  0.193  4.668 -3.491  0.243  3.609  5.139  9.547  13.572 *
2017-10-06T13:54:27.000Z A 841 -4.590  0.222  4.433 -2.785  0.236  3.530  5.256  9.529  13.925 *
2017-10-06T13:54:27.000Z A 843 -4.746  0.239  4.354 -3.256  0.215  2.942  5.688  9.504  14.004 *
2017-10-06T13:54:29.000Z A 824 -4.982  0.179  4.668 -3.138  0.254  3.295  5.452  9.581  14.475 *
2017-10-06T13:54:30.000Z A 842 -4.786  0.170  4.511 -3.060  0.271  3.373  5.649  9.538  13.847 *
2017-10-06T13:54:31.000Z A 829 -4.550  0.272  4.276 -2.981  0.235  3.020  4.903  9.483  13.494 *
2017-10-06T13:54:32.000Z A 842 -4.629  0.274  4.746 -3.295  0.199  3.530  5.178  9.473  14.043 *
2017-10-06T13:54:32.000Z A 819 -4.707  0.208  4.433 -3.177  0.235  3.491  5.178  9.545  13.729 *
2017-10-06T13:54:34.000Z A 823 -4.629  0.195  4.707 -2.942  0.272  3.177  5.296  9.533  14.357 *
2017-10-06T13:54:35.000Z A 843 -4.550  0.218  4.590 -3.138  0.231  3.099  5.845  9.536  14.278 *
2017-10-06T13:54:36.000Z A 812 -4.590  0.237  4.590 -3.413  0.242  3.020  5.531  9.478  13.847 *
2017-10-06T13:54:37.000Z A 842 -4.864  0.199  4.629 -3.060  0.225  3.452  4.903  9.555  13.651 *
2017-10-06T13:54:37.000Z A 839 -4.707  0.195  4.393 -3.099  0.259  3.217  5.727  9.524  13.925 *
2017-10-06T13:54:39.000Z A 824 -4.629  0.237  4.943 -3.334  0.238  3.099  5.766  9.547  14.396 *
2017-10-06T13:54:40.000Z A 842 -4.825  0.220  4.629 -3.334  0.264  3.570  5.413  9.517  14.553 *
2017-10-06T13:54:41.000Z A 809 -4.629  0.255  4.864 -2.981  0.215  3.256  5.413  9.515  14.357 *
2017-10-06T13:54:42.000Z A 821 -4.629  0.189  5.060 -2.942  0.237  3.217  5.374  9.541  14.906 *
2017-10-06T13:54:42.000Z A 842 -5.021  0.236  4.629 -3.256  0.230  3.413  4.982  9.510  14.043 *
2017-10-06T13:54:44.000Z A 832 -4.550  0.218  4.746 -3.373  0.239  3.609  5.060  9.493  14.357 *
2017-10-06T13:54:45.000Z A 841 -4.786  0.215  4.629 -3.413  0.212  3.217  5.413  9.501  14.239 *
2017-10-06T13:54:46.000Z A 812 -4.707  0.194  4.786 -3.060  0.238  3.217  5.492  9.544  14.278 *
2017-10-06T13:54:47.000Z A 843 -4.511  0.179  4.746 -3.295  0.242  3.570  5.217  9.563  14.239 *
2017-10-06T13:54:47.000Z A 832 -4.590  0.245  4.158 -3.295  0.232  3.687  5.609  9.519  14.514 *
2017-10-06T13:54:49.000Z A 830 -4.590  0.226  4.354 -3.609  0.216  3.609  5.492  9.536  14.122 *
2017-10-06T13:54:50.000Z A 766 -4.590  0.229  4.668 -3.491  0.219  3.923  5.256  9.510  14.082 *
2017-10-06T13:54:51.000Z A 811 -4.707  0.232  4.276 -3.491  0.256  3.334  5.413  9.494  14.553 *
2017-10-06T13:54:52.000Z A 842 -4.707  0.198  4.511 -3.413  0.242  3.413  5.021  9.554  13.847 *
2017-10-06T13:54:52.000Z A 835 -4.668  0.232  4.590 -3.256  0.211  3.570  5.060  9.455  13.768 *
2017-10-06T13:54:54.000Z A 833 -4.668  0.234  4.786 -3.256  0.234  3.609  5.296  9.515  14.632 *
2017-10-06T13:54:55.000Z A 842 -4.629  0.215  5.099 -3.295  0.231  3.452  4.943  9.512  14.082 *
2017-10-06T13:54:56.000Z A 806 -4.707  0.196  4.825 -3.177  0.217  3.099  5.256  9.554  14.357 *
2017-10-06T13:54:57.000Z A 813 -4.550  0.177  4.590 -3.373  0.267  3.334  5.139  9.541  14.200 *
2017-10-06T13:54:57.000Z A 820 -4.590  0.233  4.472 -3.177  0.227  3.883  5.021  9.506  14.239 *
2017-10-06T13:54:59.000Z A 831 -4.943  0.183  4.668 -3.334  0.278  3.923  4.668  9.552  13.925 *
2017-10-06T13:55:00.000Z A 814 -4.590  0.213  4.746 -3.020  0.217  3.256  5.374  9.504  14.985 *
2017-10-06T13:55:01.000Z A 844 -4.825  0.189  4.511 -3.334  0.268  4.158  4.707  9.551  14.082 *
2017-10-06T13:55:02.000Z A 840 -4.903  0.246  4.629 -3.020  0.243  3.452  5.492  9.519  14.710 *
2017-10-06T13:55:02.000Z A 810 -4.707  0.238  4.825 -3.373  0.212  3.530  4.590  9.531  14.945 *
2017-10-06T13:55:04.000Z A 834 -4.746  0.258  4.472 -3.099  0.243  3.452  5.296  9.476  14.906 *
2017-10-06T13:55:05.000Z A 836 -4.668  0.210  4.825 -3.295  0.264  3.844  5.492  9.574  14.592 *
2017-10-06T13:55:06.000Z A 842 -4.629  0.213  4.550 -3.491  0.227  3.530  5.217  9.546  14.357 *
2017-10-06T13:55:07.000Z A 836 -4.825  0.230  4.511 -3.295  0.235  4.040  4.943  9.504  13.886 *
2017-10-06T13:55:07.000Z A 802 -4.825  0.257  4.197 -3.373  0.235  3.334  6.198  9.492  13.651 *
2017-10-06T13:55:09.000Z A 833 -4.001  0.208  4.433 -1.765  0.247  2.942  6.002  9.540  13.376 *
2017-10-06T13:55:10.000Z A 839 -3.530  0.235  3.805 -1.177  0.259  2.197  5.374  9.541  13.729 *
2017-10-06T13:55:11.000Z A 811 -1.961  0.235  3.491 -1.255  0.234  1.922  5.256  9.494  13.376 *
2017-10-06T13:55:12.000Z A 843 -2.432  0.236  3.570 -1.020  0.238  2.001  5.413  9.546  13.455 *
2017-10-06T13:55:12.000Z A 833 -3.060  0.208  3.452 -1.334  0.259  2.079  4.786  9.500  13.494 *
2017-10-06T13:55:14.000Z A 823 -2.707  0.225  3.530 -1.255  0.238  1.726  5.256  9.534  13.572 *
2017-10-06T13:55:15.000Z A 835 -2.667  0.197  3.609 -1.294  0.256  2.118  4.903  9.504  13.651 *
2017-10-06T13:55:16.000Z A 812 -2.707  0.210  3.530 -1.451  0.241  1.804  5.256  9.519  13.690 *
2017-10-06T13:55:17.000Z A 842 -2.785  0.210  3.177 -1.216  0.240  1.726  5.099  9.535  13.572 *
2017-10-06T13:55:17.000Z A 833 -3.099  0.229  3.687 -1.098  0.258  1.961  5.256  9.531  13.494 *
2017-10-06T13:55:19.000Z A 830 -2.707  0.235  3.334 -1.373  0.249  1.961  5.217  9.488  13.690 *
2017-10-06T13:55:20.000Z A 842 -2.864  0.239  3.687 -1.098  0.248  2.236  5.178  9.515  13.376 *
2017-10-06T13:55:21.000Z A 811 -2.707  0.222  3.334 -1.138  0.245  1.804  4.668  9.538  14.082 *
2017-10-06T13:55:22.000Z A 843 -2.903  0.204  3.373 -1.177  0.254  2.001  5.099  9.551  13.768 *
2017-10-06T13:55:22.000Z A 832 -2.785  0.210  3.530 -1.530  0.245  2.118  5.021  9.469  13.886 *
2017-10-06T13:55:24.000Z G  43.329208 -71.608587 395.997388 0.00 0 63 *
2017-10-06T13:55:24.000Z A 830 -2.707  0.221  3.373 -1.216  0.243  1.883  5.296  9.548  13.690 *
2017-10-06T13:55:25.000Z A 841 -2.864  0.211  3.373 -1.216  0.256  1.922  5.021  9.530  13.651 *
2017-10-06T13:55:26.000Z A 808 -2.471  0.230  3.334 -0.941  0.232  2.040  4.707  9.556  14.082 *
2017-10-06T13:55:27.000Z A 814 -2.981  0.220  3.530 -1.177  0.264  1.883  5.217  9.529  13.612 *
2017-10-06T13:55:27.000Z A 839 -2.432  0.213  3.570 -1.373  0.235  1.647  5.060  9.544  13.729 *
2017-10-06T13:55:29.000Z A 831 -3.177  0.249  3.334 -1.059  0.264  2.001  5.099  9.567  13.925 *
2017-10-06T13:55:30.000Z A 813 -2.628  0.223  3.805 -1.373  0.227  1.687  5.021  9.553  13.612 *
2017-10-06T13:55:31.000Z A 823 -2.981  0.215  3.177 -0.981  0.252  2.118  5.335  9.504  13.533 *
2017-10-06T13:55:32.000Z A 838 -2.550  0.228  3.413 -1.059  0.247  2.040  5.413  9.530  13.612 *
2017-10-06T13:55:32.000Z A 805 -2.550  0.169  3.452 -1.059  0.233  1.726  5.178  9.572  13.768 *
2017-10-06T13:55:34.000Z A 829 -3.060  0.216  3.452 -1.373  0.275  1.922  4.668  9.494  13.612 *
2017-10-06T13:55:35.000Z A 843 -2.314  0.186  3.295 -1.216  0.258  1.765  4.864  9.518  13.612 *
2017-10-06T13:55:36.000Z A 813 -2.785  0.219  3.413 -1.138  0.244  1.961  5.296  9.562  14.004 *
2017-10-06T13:55:37.000Z A 841 -2.550  0.240  3.491 -1.334  0.236  1.765  5.217  9.586  14.082 *
2017-10-06T13:55:37.000Z A 833 -2.785  0.199  3.217 -1.255  0.222  2.158  4.668  9.508  14.161 *
2017-10-06T13:55:39.000Z A 830 -2.981  0.206  3.570 -1.216  0.250  1.961  5.531  9.517  13.768 *
2017-10-06T13:55:40.000Z A 843 -2.471  0.189  3.373 -1.098  0.262  2.118  5.570  9.531  13.651 *
2017-10-06T13:55:41.000Z A 812 -3.295  0.210  3.491 -1.098  0.241  2.197  5.335  9.525  13.533 *
2017-10-06T13:55:42.000Z A 842 -2.432  0.225  3.295 -1.216  0.249  1.726  5.060  9.506  13.337 *
2017-10-06T13:55:42.000Z A 832 -2.707  0.228  3.530 -1.059  0.253  1.883  5.099  9.501  13.965 *
2017-10-06T13:55:44.000Z A 835 -2.628  0.247  3.570 -1.177  0.245  1.844  5.217  9.586  13.298 *
2017-10-06T13:55:45.000Z A 842 -2.785  0.187  3.452 -0.941  0.249  1.804  5.296  9.517  13.808 *
2017-10-06T13:55:46.000Z A 820 -3.138  0.195  3.256 -1.216  0.235  2.314  5.296  9.508  13.533 *
2017-10-06T13:55:47.000Z A 844 -2.471  0.225  3.334 -1.098  0.242  1.726  5.256  9.497  13.376 *
2017-10-06T13:55:47.000Z A 806 -2.785  0.218  3.373 -1.177  0.253  2.158  4.825  9.488  13.572 *
2017-10-06T13:55:49.000Z A 833 -2.903  0.229  3.491 -1.216  0.238  1.922  5.060  9.573  13.886 *
2017-10-06T13:55:50.000Z A 838 -2.942  0.226  3.138 -1.177  0.242  2.197  5.335  9.541  13.690 *
2017-10-06T13:55:51.000Z A 812 -2.746  0.202  3.805 -1.177  0.273  2.001  5.452  9.517  14.239 *
2017-10-06T13:55:52.000Z A 841 -2.942  0.221  3.491 -1.294  0.242  1.765  5.609  9.525  14.357 *
2017-10-06T13:55:52.000Z A 832 -2.785  0.213  3.727 -1.530  0.257  1.961  5.413  9.516  13.572 *
2017-10-06T13:55:54.000Z A 833 -2.746  0.198  3.570 -1.177  0.245  1.922  4.786  9.515  14.161 *
2017-10-06T13:55:55.000Z A 840 -2.864  0.219  3.413 -1.294  0.276  2.510  4.472  9.529  13.768 *
2017-10-06T13:55:56.000Z A 830 -2.942  0.215  3.452 -1.059  0.248  1.804  5.060  9.540  13.729 *
2017-10-06T13:55:57.000Z A 843 -3.020  0.219  2.981 -1.216  0.250  2.040  4.903  9.518  13.847 *
2017-10-06T13:55:57.000Z A 804 -3.217  0.245  3.727 -0.981  0.254  2.001  5.256  9.545  13.533 *
