
#v3
2017-09-30T12:41:33.000Z G  43.616878 -71.166043 585.301856 0.00 0 249 *
2017-09-30T12:41:33.000Z A 1  0.000  1.687  1.687  0.000  1.883  1.883  0.000  8.473  8.473 *
2017-09-30T12:42:20.000Z A 844 -3.570  0.094  2.314 -1.726  0.938  3.138  3.570  9.483  16.514 *
2017-09-30T12:42:21.000Z A 826 -3.217  0.036  2.158 -1.569  0.922  3.099  3.452  9.632  16.005 *
2017-09-30T12:42:22.000Z A 842 -3.413  0.043  2.275 -1.844  0.907  2.942  3.530  9.522  16.358 *
2017-09-30T12:42:23.000Z A 837 -3.295  0.078  2.236 -1.647  0.884  3.138  3.570  9.457  16.201 *
2017-09-30T12:42:24.000Z A 822 -3.177  0.069  2.118 -2.079  0.895  2.981  3.609  9.481  16.083 *
2017-09-30T12:42:25.000Z A 826 -3.609  0.078  2.079 -1.608  0.916  3.060  2.942  9.423  16.828 *
2017-09-30T12:42:26.000Z A 826 -3.099  0.032  2.158 -1.844  0.912  3.177  3.413  9.530  16.044 *
2017-09-30T12:42:27.000Z A 845 -3.491  0.039  2.197 -1.922  0.934  3.060  3.334  9.545  16.671 *
2017-09-30T12:42:28.000Z A 834 -3.373  0.055  2.118 -1.844  0.904  3.217  3.413  9.533  16.789 *
2017-09-30T12:42:29.000Z A 826 -3.217  0.056  2.118 -2.001  0.896  3.099  3.020  9.450  15.965 *
2017-09-30T12:42:30.000Z A 845 -3.648  0.042  2.314 -1.608  0.933  3.334  3.217  9.557  16.240 *
2017-09-30T12:42:31.000Z A 829 -3.295  0.053  2.118 -1.726  0.909  3.295  3.138  9.561  16.632 *
2017-09-30T12:42:32.000Z A 843 -3.491  0.054  2.118 -1.804  0.901  3.217  3.452  9.582  16.436 *
2017-09-30T12:42:33.000Z A 837 -3.530  0.062  2.118 -1.804  0.889  3.177  3.177  9.494  16.710 *
2017-09-30T12:42:34.000Z A 823 -3.491  0.070  2.118 -2.118  0.924  3.256  3.334  9.472  16.710 *
2017-09-30T12:42:35.000Z A 840 -4.001  0.034  2.197 -2.079  0.961  3.217  3.020  9.547  16.710 *
2017-09-30T12:42:36.000Z A 827 -3.805  0.043  2.275 -2.001  0.911  3.217  3.452  9.539  16.318 *
2017-09-30T12:42:37.000Z G  43.616868 -71.166038 586.286108 0.00 0 195 *
2017-09-30T12:42:37.000Z A 846 -2.942  0.073  2.314 -1.883  0.936  3.217  3.060  9.425  16.044 *
2017-09-30T12:42:38.000Z A 818 -3.727  0.022  2.158 -2.158  0.895  3.295  3.099  9.551  16.789 *
2017-09-30T12:42:39.000Z A 840 -2.942  0.064  2.275 -2.158  0.933  3.099  3.177  9.461  16.318 *
2017-09-30T12:42:40.000Z A 844 -3.177  0.064  2.197 -1.883  0.940  3.099  3.334  9.472  16.083 *
2017-09-30T12:42:41.000Z A 809 -3.491  0.079  2.118 -2.001  0.927  3.256  3.060  9.569  16.750 *
2017-09-30T12:42:42.000Z A 846 -3.452  0.043  2.275 -2.040  0.924  3.373  3.177  9.466  16.554 *
2017-09-30T12:42:43.000Z A 837 -3.491  0.031  2.118 -2.079  0.928  3.256  3.177  9.531  16.828 *
2017-09-30T12:42:44.000Z A 829 -3.334  0.028  2.158 -2.040  0.894  3.452  3.491  9.620  16.750 *
