0: 421.916024 421.916024 1
1: 440.944896 440.944896 1
2: 422.900276 422.900276 1
3: 431.102376 431.102376 1
4: 452.099752 452.099752 1
5: 381.397650 381.397650 2
6: 370.898962 370.898962 3
7: 368.192269 368.192269 2
8: 395.341220 395.341220 1
9: 394.028884 394.028884 1
10: 361.876652 361.876652 1
11: 396.981640 396.981640 1
12: 362.532820 362.532820 1
13: 362.204736 362.204736 1
14: 362.204736 362.204736 1
15: 362.860904 362.860904 1
16: 397.309724 397.309724 1
17: 365.813660 365.813660 1
18: 395.997388 395.997388 1
19: 366.469828 366.469828 1
20: 396.653556 396.653556 1
21: 367.454080 367.454080 1
22: 397.637808 397.637808 1
23: 369.750668 369.750668 1
24: 375.861232 375.861232 8
25: 376.502022 376.502022 8
26: 377.099878 377.099878 8
27: 377.608424 377.608424 8
28: 377.934475 377.934475 8
29: 378.260273 378.260273 8
30: 378.380732 378.380732 8
31: 378.311196 378.311196 8
32: 385.498700 385.498700 1
33: 395.669304 395.669304 1
34: 397.637808 397.637808 1
35: 417.979016 417.979016 1
36: 398.293976 398.293976 1
37: 401.848219 401.848219 6
38: 399.487837 399.487837 6
39: 399.632133 399.632133 6
40: 399.745798 399.745798 6
41: 399.823727 399.823727 6
42: 400.526764 400.526764 7
43: 402.035042 402.035042 2
44: 404.527572 404.527572 1
45: 414.042008 414.042008 1
46: 414.042008 414.042008 1
47: 402.887152 402.887152 1
48: 426.837284 426.837284 1
49: 414.862218 414.862218 2
50: 421.013793 421.013793 2
51: 428.477704 428.477704 1
52: 429.461956 429.461956 1
53: 430.118124 430.118124 1
54: 427.821536 427.821536 1
55: 426.837284 426.837284 1
56: 402.887152 402.887152 1
57: 429.790040 429.790040 1
58: 404.527572 404.527572 1
59: 429.461956 429.461956 1
60: 428.149620 428.149620 1
61: 428.149620 428.149620 1
62: 427.165368 427.165368 1
63: 427.165368 427.165368 1
64: 411.417336 411.417336 1
65: 422.900276 422.900276 1
66: 412.401588 412.401588 1
67: 422.244108 422.244108 1
68: 421.587940 421.587940 1
69: 420.931772 420.931772 1
70: 416.010512 416.010512 1
71: 420.603688 420.603688 1
72: 416.666680 416.666680 1
73: 420.603688 420.603688 1
74: 419.947520 419.947520 1
75: 419.619436 419.619436 1
76: 420.275604 420.275604 1
77: 420.275604 420.275604 1
78: 422.572192 422.572192 1

