
#v3
1496703584.306488 2017-06-11T16:03:15.000Z A 835 -0.392 -0.209  0.000  0.314  0.548  0.745  9.454  9.697  10.042 *
1496703585.306736 2017-06-11T16:03:16.000Z A 824 -0.431 -0.225  0.039  0.275  0.543  0.863  9.336  9.695  10.042 *
1496703586.306847 2017-06-11T16:03:17.000Z A 848 -0.471 -0.216 -0.039  0.353  0.551  0.784  9.454  9.703  10.042 *
1496703587.307045 2017-06-11T16:03:18.000Z A 834 -0.471 -0.222  0.000  0.314  0.543  0.784  9.414  9.676  10.003 *
1496703588.308193 2017-06-11T16:03:19.000Z A 849 -0.392 -0.218  0.235  0.353  0.536  0.745  9.375  9.707  9.964 *
1496703589.309246 2017-06-11T16:03:20.000Z A 838 -0.510 -0.224 -0.039  0.353  0.552  0.784  9.375  9.684  10.042 *
1496703590.310106 2017-06-11T16:03:21.000Z A 829 -0.471 -0.227  0.079  0.235  0.547  0.824  9.454  9.697  9.924 *
1496703591.311073 2017-06-11T16:03:22.000Z A 845 -0.588 -0.216  0.079  0.235  0.553  1.020  9.258  9.698  10.081 *
1496703592.311960 2017-06-11T16:03:23.000Z A 836 -0.392 -0.224  0.000  0.275  0.540  0.824  9.414  9.698  10.003 *
1496703593.312546 2017-06-11T16:03:24.000Z A 848 -0.392 -0.217 -0.039  0.314  0.555  0.824  9.454  9.697  9.964 *
1496703594.313588 2017-06-11T16:03:25.000Z A 839 -0.392 -0.216 -0.039  0.353  0.544  0.863  9.336  9.688  9.964 *
1496703595.314678 2017-06-11T16:03:26.000Z A 827 -0.549 -0.215 -0.039  0.353  0.547  0.745  9.493  9.686  9.885 *
1496703596.315242 2017-06-11T16:03:27.000Z A 827 -0.431 -0.224  0.039  0.353  0.556  0.784  9.414  9.675  10.003 *
1496703597.316141 2017-06-11T16:03:28.000Z A 836 -0.471 -0.224  0.000  0.392  0.539  0.745  9.414  9.691  9.924 *
1496703598.316142 2017-06-11T16:03:29.000Z A 848 -0.392 -0.220  0.000  0.353  0.538  0.745  9.454  9.705  10.003 *
1496703599.317259 2017-06-11T16:03:30.000Z A 838 -0.392 -0.213  0.039  0.275  0.546  0.745  9.414  9.699  9.964 *
1496703600.317263 2017-06-11T16:03:31.000Z A 824 -0.510 -0.215  0.039  0.157  0.537  0.902  9.414  9.695  10.081 *
1496703601.317275 2017-06-11T16:03:32.000Z A 846 -0.471 -0.214  0.000  0.314  0.553  0.784  9.375  9.686  10.042 *
1496703602.001740 2017-06-11T16:03:33.000Z G  43.616958 -71.166035 588.582696 11.070 0.185 201.0 *
1496703602.318285 2017-06-11T16:03:33.000Z A 836 -0.471 -0.218  0.039  0.314  0.538  0.745  9.414  9.704  9.964 *
1496703603.318434 2017-06-11T16:03:34.000Z A 848 -0.431 -0.226  0.000  0.314  0.547  0.824  9.336  9.696  10.042 *
1496703604.319532 2017-06-11T16:03:35.000Z A 838 -0.471 -0.211  0.118  0.392  0.552  0.745  9.375  9.692  9.964 *
1496703605.320675 2017-06-11T16:03:36.000Z A 817 -0.471 -0.221  0.039  0.314  0.548  0.784  9.336  9.687  9.964 *
1496703606.320924 2017-06-11T16:03:37.000Z A 847 -0.431 -0.216  0.000  0.314  0.546  0.745  9.454  9.698  9.964 *
1496703607.321846 2017-06-11T16:03:38.000Z A 829 -0.471 -0.226  0.039  0.314  0.534  0.784  9.375  9.686  10.003 *
1496703608.322933 2017-06-11T16:03:39.000Z A 847 -0.431 -0.223  0.000  0.353  0.536  0.784  9.336  9.687  9.964 *
1496703609.323398 2017-06-11T16:03:40.000Z A 843 -0.471 -0.237 -0.039  0.353  0.561  0.784  9.414  9.678  9.924 *
1496703610.323937 2017-06-11T16:03:41.000Z A 820 -0.510 -0.218  0.000  0.353  0.539  0.745  9.375  9.685  9.924 *
1496703611.323960 2017-06-11T16:03:42.000Z A 827 -0.431 -0.207  0.039  0.353  0.546  0.824  9.336  9.680  10.003 *
1496703612.325053 2017-06-11T16:03:43.000Z A 830 -0.471 -0.227  0.000  0.275  0.547  0.784  9.454  9.698  10.003 *
